# Markups fiducial file version = 4.5
# CoordinateSystem = 0
# columns = id,x,y,z,ow,ox,oy,oz,vis,sel,lock,label,desc,associatedNodeID
vtkMRMLMarkupsFiducialNode_27,-90.4655,-49.0347,29.32,0,0,0,1,0,1,0,Volunteer4_SeedList-1,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_28,-79.4546,-43.2493,29.32,0,0,0,1,0,1,0,Volunteer4_SeedList-2,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_29,-40.6365,-45.4888,22.32,0,0,0,1,0,1,0,Volunteer4_SeedList-3,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_30,-62.4717,-41.0098,34.32,0,0,0,1,0,1,0,Volunteer4_SeedList-4,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_31,-67.6972,-28.3193,34.32,0,0,0,1,0,1,0,Volunteer4_SeedList-5,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_32,-52.0207,-32.2384,34.32,0,0,0,1,0,1,0,Volunteer4_SeedList-6,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_33,-52.0207,-47.355,34.32,0,0,0,1,0,1,0,Volunteer4_SeedList-7,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_34,-74.4157,-45.862,38.32,0,0,0,1,0,1,0,Volunteer4_SeedList-8,,vtkMRMLScalarVolumeNode4
vtkMRMLMarkupsFiducialNode_35,-45.1155,-44.369,31.32,0,0,0,1,0,1,0,Volunteer4_SeedList-9,,vtkMRMLScalarVolumeNode4
